기관명,지역,프로그램명,종목,기준일,정원,신청인원,대기인원,시연데이터
도봉동실내스포츠센터(별관),서울,10시오전수영A(중급),수영,2026-04-01,28,15,0,true
도봉동실내스포츠센터(별관),서울,10시오전수영A(중급),수영,2026-05-01,28,18,0,true
도봉동실내스포츠센터(별관),서울,10시오전수영A(중급),수영,2026-06-01,28,17,0,true
도봉동실내스포츠센터(별관),서울,10시오전수영A(중급),수영,2026-07-01,28,19,0,true
도봉동실내스포츠센터(별관),서울,10시오전수영A(중급),수영,2026-08-01,28,20,0,true
도봉동실내스포츠센터(별관),서울,10시오전수영A(중급),수영,2026-09-01,28,22,0,true
소사국민체육센터,경기,07시 수영 월수금 연수B,수영,2026-04-01,50,20,0,true
소사국민체육센터,경기,07시 수영 월수금 연수B,수영,2026-05-01,50,19,0,true
소사국민체육센터,경기,07시 수영 월수금 연수B,수영,2026-06-01,50,22,0,true
소사국민체육센터,경기,07시 수영 월수금 연수B,수영,2026-07-01,50,31,0,true
소사국민체육센터,경기,07시 수영 월수금 연수B,수영,2026-08-01,50,26,0,true
소사국민체육센터,경기,07시 수영 월수금 연수B,수영,2026-09-01,50,31,0,true
사하구국민체육센터,부산,21시 직장인수영_중급,수영,2026-04-01,25,13,0,true
사하구국민체육센터,부산,21시 직장인수영_중급,수영,2026-05-01,25,11,0,true
사하구국민체육센터,부산,21시 직장인수영_중급,수영,2026-06-01,25,12,0,true
사하구국민체육센터,부산,21시 직장인수영_중급,수영,2026-07-01,25,14,0,true
사하구국민체육센터,부산,21시 직장인수영_중급,수영,2026-08-01,25,14,0,true
사하구국민체육센터,부산,21시 직장인수영_중급,수영,2026-09-01,25,15,0,true
열우물경기장,인천,(20)저녁수영_주2회(초급),수영,2026-04-01,20,11,0,true
열우물경기장,인천,(20)저녁수영_주2회(초급),수영,2026-05-01,20,12,0,true
열우물경기장,인천,(20)저녁수영_주2회(초급),수영,2026-06-01,20,15,0,true
열우물경기장,인천,(20)저녁수영_주2회(초급),수영,2026-07-01,20,14,0,true
열우물경기장,인천,(20)저녁수영_주2회(초급),수영,2026-08-01,20,13,0,true
열우물경기장,인천,(20)저녁수영_주2회(초급),수영,2026-09-01,20,14,0,true
두류수영장,대구,수영_월수금_교정B반(11시10분),수영,2026-04-01,35,7,0,true
두류수영장,대구,수영_월수금_교정B반(11시10분),수영,2026-05-01,35,7,0,true
두류수영장,대구,수영_월수금_교정B반(11시10분),수영,2026-06-01,35,10,0,true
두류수영장,대구,수영_월수금_교정B반(11시10분),수영,2026-07-01,35,12,0,true
두류수영장,대구,수영_월수금_교정B반(11시10분),수영,2026-08-01,35,8,0,true
두류수영장,대구,수영_월수금_교정B반(11시10분),수영,2026-09-01,35,15,0,true
경주국민체육센터,경북,요가&필라테스 주3일반,체조,2026-04-01,15,12,0,true
경주국민체육센터,경북,요가&필라테스 주3일반,체조,2026-05-01,15,13,0,true
경주국민체육센터,경북,요가&필라테스 주3일반,체조,2026-06-01,15,13,0,true
경주국민체육센터,경북,요가&필라테스 주3일반,체조,2026-07-01,15,14,0,true
경주국민체육센터,경북,요가&필라테스 주3일반,체조,2026-08-01,15,14,0,true
경주국민체육센터,경북,요가&필라테스 주3일반,체조,2026-09-01,15,14,0,true
속초국민체육센터(에어로빅실),강원,필라테스,체조,2026-04-01,25,10,0,true
속초국민체육센터(에어로빅실),강원,필라테스,체조,2026-05-01,25,9,0,true
속초국민체육센터(에어로빅실),강원,필라테스,체조,2026-06-01,25,9,0,true
속초국민체육센터(에어로빅실),강원,필라테스,체조,2026-07-01,25,10,0,true
속초국민체육센터(에어로빅실),강원,필라테스,체조,2026-08-01,25,10,0,true
속초국민체육센터(에어로빅실),강원,필라테스,체조,2026-09-01,25,11,0,true
평생학습관,충남,기초요가&필라테스(오후),체조,2026-04-01,22,6,0,true
평생학습관,충남,기초요가&필라테스(오후),체조,2026-05-01,22,6,0,true
평생학습관,충남,기초요가&필라테스(오후),체조,2026-06-01,22,5,0,true
평생학습관,충남,기초요가&필라테스(오후),체조,2026-07-01,22,7,0,true
평생학습관,충남,기초요가&필라테스(오후),체조,2026-08-01,22,8,0,true
평생학습관,충남,기초요가&필라테스(오후),체조,2026-09-01,22,9,0,true
북구국민체육센터,울산,요가 19시,체조,2026-04-01,45,17,0,true
북구국민체육센터,울산,요가 19시,체조,2026-05-01,45,18,0,true
북구국민체육센터,울산,요가 19시,체조,2026-06-01,45,19,0,true
북구국민체육센터,울산,요가 19시,체조,2026-07-01,45,18,0,true
북구국민체육센터,울산,요가 19시,체조,2026-08-01,45,20,0,true
북구국민체육센터,울산,요가 19시,체조,2026-09-01,45,23,0,true
온조대왕문화체육관,서울,힐링요가,체조,2026-04-01,50,10,0,true
