grade_code,course_type,eligibility,acquisition_process,submitted_documents
PSC1,일반과정,① 해당 자격종목의 2급 전문스포츠지도사 자격을 취득한 후 3년 이상 해당 자격 종목의 경기지도경력이 있는 사람,"–필기
–연수(250)","ㆍ경기지도 경력증명서(3년이상)  * 근무 기관 자체 서류 발급 불가 시 홈페이지 자료실 양식 활용 가능
ㆍ지도자등록확인서
ㆍ해당 종목 2급 전문스포츠지도사 자격증 사본"
PSC1,특별과정,"② 국가대표선수(국가대표선수였던 사람을 포함)로서 다음 요건을 모두 갖춘 사람
1) 해당 자격 종목의 국가대표선수로 국제올림픽위원회,
아시아올림픽평의회, 종목별 국제연맹, 종목별 아시아연맹에서
주최하는 국제대회 중 어느 하나에 참가한 경력이 있을 것
2) 해당 자격 종목의 2급 전문스포츠지도사 자격을 취득한 후
해당 자격 종목의 3년이상의 경기지도경력이 있을 것",-연수(250),"ㆍ국가대표 선수 확인서
ㆍ해당 국제대회참가 확인서
ㆍ경기지도 경력증명서(3년이상)  * 근무 기관 자체 서류 발급 불가 시 홈페이지 자료실 양식 활용 가능
ㆍ해당 종목 2급 전문스포츠지도사 자격증 사본"
PSC2,일반과정,① 해당 자격 종목에 대하여 4년 이상의 경기경력이 있는 사람,"-필기
-실기-구술
-연수(90)",ㆍ경기실적증명서(4년이상) 또는 대회참가확인서(4년이상)
PSC2,일반과정,"② 「고등교육법」 제2조에 따른 학교에서 체육분야에 관한 학문을 전공하고 졸업한 사람이거나 법령에 따라 이와 같은 수준의 학력(학점은행제 등)이 있다고 인정되는 사람
- 체육분야 학사(졸업예정자 포함)","-필기
-실기-구술
-연수(90)","ㆍ체육분야 학사 졸업(예정)증명서 또는 학위(수여예정)증명서 또는 최종학년 재학증명서(졸업예정자)
* 졸업예정자 재학 또는 졸업예정증명서 또는 학위수여예정증명서 제출 시 제출일 기준 다음연도 2.28까지 졸업(학위)증명서 제출해야함. 미제출 시 자격검정 및 연수 불합격처리(수수료 및 연수비 환불 불가)"
PSC2,일반과정,"③ 「고등교육법」 제2조에 따른 학교에서 체육분야에 관한 학문을 전공하고 졸업한 사람이거나 법령에 따라 이와 같은 수준의 학력이 있다고 인정되는 사람으로 그 경기경력 및 수업연한의 합산 기간이 4년 이상인 사람
- 체육분야 전문학사 또는 석사 또는 박사로서 그 수업연한 및 해당 자격 종목 경기경력 합산 기간이 4년 이상인 사람(졸업예정자 포함)
- 전문학사, 석사, 박사의 수업연한은 각각 2년으로 인정됨","-필기
-실기-구술
-연수(90)","ㆍ 졸업자: 체육분야 전문학사 또는 석사 또는 박사 졸업(학위)증명서
ㆍ 졸업예정자
1) 체육분야 전문학사: 졸업(학위수여)예정증명서 또는 최종학년 재학 증명서
2) 체육분야 석사 또는 박사: 학위수여 예정증명서
ㆍ경기실적증명서 또는 대회참가확인서
* 졸업예정자로서 응시한 경우 다음 연도 2월 28일까지 졸업(학위) 증명서를 제출해야함. 미제출 시 자격검정 및 연수 불합격처리(수수료 및 연수비 환불 불가)
* 경기실적증명서는 체육분야 학위에 대한 수업연한이 4년 미만인 경우 해당 기간(4년에서 수업연한을 뺀 기간)에 대해 제출"
PSC2,일반과정,"④ 문화체육관광부장관이 인정하는 고등교육법 제2조에 해당하는
외국의 학교(학제 또는 교육과정으로 보아 고등교육법 제2조에
따른 학교와 같은 수준이거나 그 이상인 학교)에서 체육분야에
관한 학문을 전공하고 졸업한 사람으로 그 경기경력 및
수업연한의 합산 기간이 4년 이상인 사람(㉮~㉰번 중 해당)
㉮ 체육분야 학사
㉯ 체육분야 전문학사로서 해당 자격 종목의 경기경력 2년이상
㉰ 체육분야 전문학사 또는 학사, 석사, 박사로서 그 수업연한 및 해당 자격 종목 경기경력 합산 기간이 4년 이상인 사람
- 전문학사, 석사, 박사의 수업연한은 각각 2년으로 인정됨",-필기,다음 ㉮~㉰번 중 어느 하나 제출
PSC2,특별과정,"⑤ 학교체육교사(학교체육교사였던 사람을 포함)로서 초·중등교육법 별표2에 따른 중등학교 정교사(1급·2급) 또는 준교사 자격(체육과목)을 가지고, 같은 법 제2조에 따른 학교에서 체육교사로 재직하면서 해당 자격 종목의 경기지도경력이 3년 이상일 것
‧ 스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)",-실기-구술,"* 아래 3개 서류 모두 제출 필요 *
ㆍ교사재직증명서 또는 학교장 발급 교사경력증명서
ㆍ중등학교 정교사 또는 준교사 체육과목 자격증 사본
ㆍ학교장 발급 경기지도경력증명서(3년 이상)"
PSC2,특별과정,"⑥ 국가대표선수(국가대표선수였던 사람 포함)로서 해당 자격 종목의 국가대표선수로 국제올림픽위원회, 아시아올림픽평의회, 종목별 국제연맹, 종목별 아시아연맹에서 주최하는 국제대회 중 어느 하나에 참가한 경력이 있을 것
ㆍ스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)",-구술,ㆍ국가대표선수 확인서
PSC2,특별과정,"⑦ 문화체육관광부장관이 지정하는 프로스포츠단체(축구,야구,농구,배구,골프 종목에 한함)에 등록된 프로 스포츠선수(프로스포츠선수였던 사람을 포함)로서 해당 자격 종목의 프로스포츠단체 선수경력이 3년 이상일 것",-구술- 연수(40),문체부 장관 지정 프로스포츠단체 해당종목 프로스포츠선수 경력증명서(3년이상)
PSC2,추가취득,"⑧ 2급 전문스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람
ㆍ스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)","-실기-구술
-스포츠윤리교육",
